Category,Feature,GREEN (Cloud Connected),YELLOW (CAPS / LAN Only),RED (Standalone / No Network),Status Notes,Your Notes
System,Offline Data Sync on Reconnect,N/A,Auto,Auto,Automatic when GREEN mode restored,
,,,,,,
=== SUMMARY ===,,,,,,
SUMMARY,Total Features Listed,120,,,Count of all feature rows above,
SUMMARY,GREEN - Available,120 (100%),,,Everything works with full cloud connectivity,
SUMMARY,YELLOW - Available,,~50 (42%),,Core POS + KDS + CAPS-managed operations,
SUMMARY,YELLOW - Disabled (by policy),,5 (4%),,Clock-in/out and labor features disabled by design,
SUMMARY,YELLOW - Unavailable,,~65 (54%),,EMC admin + Cloud reports + Integrations + Gift/Loyalty,
SUMMARY,RED - Available,,,~35 (29%),Basic POS transactions + cash payments,
SUMMARY,RED - Disabled (by policy),,,5 (4%),Clock-in/out and labor features disabled by design,
SUMMARY,RED - Unavailable,,,~80 (67%),EMC + Reports + KDS + Cards + Split/Merge + Integrations,
